Timestamp,Milliseconds,LightValue
2025-05-15 13:19:10,8425000,1023
2025-05-15 13:19:15,8430000,1023
2025-05-15 13:19:20,8435000,1022
2025-05-15 13:19:25,8440000,1023
2025-05-15 13:19:30,8445000,1023
2025-05-15 13:19:35,8450000,1023
2025-05-15 13:19:40,8455000,1023
2025-05-15 13:19:45,8460000,1023
2025-05-15 13:19:50,8465000,1023
2025-05-15 13:19:55,8470000,1023
2025-05-15 13:20:00,8475000,1023
2025-05-15 13:20:05,8480000,1023
2025-05-15 13:20:10,8485000,1023
2025-05-15 13:20:15,8490000,1023
2025-05-15 13:20:20,8495000,1023
2025-05-15 13:20:25,8500000,1023
2025-05-15 13:20:30,8505000,1023
2025-05-15 13:20:35,8510000,1023
2025-05-15 13:20:40,8515000,1023
2025-05-15 13:20:45,8520000,1023
2025-05-15 13:20:50,8525000,1023
2025-05-15 13:20:55,8530000,1023
2025-05-15 13:21:00,8535000,1023
2025-05-15 13:21:05,8540000,1023
2025-05-15 13:21:10,8545000,1023
2025-05-15 13:21:15,8550000,1023
2025-05-15 13:21:20,8555000,1023
2025-05-15 13:21:25,8560000,1023
2025-05-15 13:21:30,8565000,1023
2025-05-15 13:21:35,8570000,1023
2025-05-15 13:21:40,8575000,1023
2025-05-15 13:21:45,8580000,1023
2025-05-15 13:21:50,8585000,1023
2025-05-15 13:21:55,8590000,1023
2025-05-15 13:22:00,8595000,1023
2025-05-15 13:22:05,8600000,1022
2025-05-15 13:22:10,8605000,1023
2025-05-15 13:22:15,8610000,1023
2025-05-15 13:22:20,8615000,1023
2025-05-15 13:22:25,8620000,1023
2025-05-15 13:22:30,8625000,1023
2025-05-15 13:22:35,8630000,1023
2025-05-15 13:22:40,8635000,1023
2025-05-15 13:22:45,8640000,1023
2025-05-15 13:22:50,8645000,1023
2025-05-15 13:22:55,8650000,1023
2025-05-15 13:23:00,8655000,1022
2025-05-15 13:23:05,8660000,1023
2025-05-15 13:23:10,8665000,1023
2025-05-15 13:23:15,8670000,1023
2025-05-15 13:23:20,8675000,1023
2025-05-15 13:23:25,8680000,1023
2025-05-15 13:23:30,8685000,1023
2025-05-15 13:23:35,8690000,1023
2025-05-15 13:23:40,8695000,1023
2025-05-15 13:23:45,8700000,1023
2025-05-15 13:23:50,8705000,1023
2025-05-15 13:23:55,8710000,1023
2025-05-15 13:24:00,8715000,1023
2025-05-15 13:24:05,8720000,1023
2025-05-15 13:24:10,8725000,1023
2025-05-15 13:24:15,8730000,1023
2025-05-15 13:24:20,8735000,1023
2025-05-15 13:24:25,8740000,1023
2025-05-15 13:24:30,8745000,1023
2025-05-15 13:24:35,8750000,1023
2025-05-15 13:24:40,8755000,1023
2025-05-15 13:24:45,8760000,1023
2025-05-15 13:24:50,8765000,1023
2025-05-15 13:24:55,8770000,1023
2025-05-15 13:25:00,8775000,1023
2025-05-15 13:25:05,8780000,1023
2025-05-15 13:25:10,8785000,1023
2025-05-15 13:25:15,8790000,1022
2025-05-15 13:25:20,8795000,1023
2025-05-15 13:25:25,8800000,1023
2025-05-15 13:25:30,8805000,1023
2025-05-15 13:25:35,8810000,1023
2025-05-15 13:25:40,8815000,1023
2025-05-15 13:25:45,8820000,1023
2025-05-15 13:25:50,8825000,1023
2025-05-15 13:25:55,8830000,1023
2025-05-15 13:26:00,8835000,1023
2025-05-15 13:26:05,8840000,1023
2025-05-15 13:26:10,8845000,1023
2025-05-15 13:26:15,8850000,1023
2025-05-15 13:26:20,8855000,1023
2025-05-15 13:26:25,8860000,1023
2025-05-15 13:26:30,8865000,1023
2025-05-15 13:26:35,8870000,1023
2025-05-15 13:26:40,8875000,1023
2025-05-15 13:26:45,8880000,1023
2025-05-15 13:26:50,8885000,1023
2025-05-15 13:26:55,8890000,1023
2025-05-15 13:27:00,8895000,1023
2025-05-15 13:27:05,8900000,37
2025-05-15 13:27:10,8905000,36
2025-05-15 13:27:15,8910000,32
2025-05-15 13:27:20,8915000,1023
2025-05-15 13:27:25,8920000,1023
2025-05-15 13:27:30,8925000,31
2025-05-15 13:27:35,8930000,30
2025-05-15 13:27:40,8935000,33
2025-05-15 13:27:45,8940000,1023
2025-05-15 13:27:50,8945000,36
2025-05-15 13:27:55,8950000,40
2025-05-15 13:28:00,8955000,33
2025-05-15 13:28:05,8960000,1023
2025-05-15 13:28:10,8965000,35
2025-05-15 13:28:15,8970000,35
2025-05-15 13:28:20,8975000,28
2025-05-15 13:28:25,8980000,31
2025-05-15 13:28:30,8985000,1023
2025-05-15 13:28:35,8990000,32
2025-05-15 13:28:40,8995000,32
2025-05-15 13:28:45,9000000,33
2025-05-15 13:28:50,9005000,35
2025-05-15 13:28:55,9010000,35
2025-05-15 13:29:00,9015000,1023
2025-05-15 13:29:05,9020000,34
2025-05-15 13:29:10,9025000,34
2025-05-15 13:29:15,9030000,35
2025-05-15 13:29:20,9035000,32
2025-05-15 13:29:25,9040000,36
2025-05-15 13:29:30,9045000,27
2025-05-15 13:29:35,9050000,33
2025-05-15 13:29:40,9055000,35
2025-05-15 13:29:45,9060000,32
2025-05-15 13:29:50,9065000,38
2025-05-15 13:29:55,9070000,30
2025-05-15 13:30:00,9075000,28
2025-05-15 13:30:05,9080000,34
2025-05-15 13:30:10,9085000,32
2025-05-15 13:30:15,9090000,32
2025-05-15 13:30:20,9095000,36
2025-05-15 13:30:25,9100000,33
2025-05-15 13:30:30,9105000,34
2025-05-15 13:30:35,9110000,31
2025-05-15 13:30:40,9115000,34
2025-05-15 13:30:45,9120000,35
2025-05-15 13:30:50,9125000,37
2025-05-15 13:30:55,9130000,34
2025-05-15 13:31:00,9135000,33
2025-05-15 13:31:05,9140000,36
2025-05-15 13:31:10,9145000,31
2025-05-15 13:31:15,9150000,27
2025-05-15 13:31:20,9155000,34
2025-05-15 13:31:25,9160000,29
2025-05-15 13:31:30,9165000,1023
2025-05-15 13:31:35,9170000,27
2025-05-15 13:31:40,9175000,34
2025-05-15 13:31:45,9180000,35
2025-05-15 13:31:50,9185000,36
2025-05-15 13:31:55,9190000,28
2025-05-15 13:32:00,9195000,1023
2025-05-15 13:32:05,9200000,26
2025-05-15 13:32:10,9205000,30
2025-05-15 13:32:15,9210000,37
2025-05-15 13:32:20,9215000,32
2025-05-15 13:32:25,9220000,33
2025-05-15 13:32:30,9225000,33
2025-05-15 13:32:35,9230000,35
