sensor_name,timestamp,x,y,z
LSM6DS3,194871,0.31,0.18,0.31
LSM6DS3,174822,0.61,0.24,0.31
LSM6DS3,199883,0.49,0.24,0.24
LSM6DS3,179834,0.55,0.18,0.37
LSM6DS3,204895,0.79,0.24,0.37
LSM6DS3,184846,0.85,0.31,0.37
LSM6DS3,209908,2.01,0.43,0.43
LSM6DS3,214920,0.49,0.24,0.37
LSM6DS3,219931,0.61,0.24,0.31
LSM6DS3,224943,0.61,0.18,0.37
LSM6DS3,229955,0.79,0.24,0.31
LSM6DS3,234968,0.43,0.24,0.31
LSM6DS3,239980,0.61,0.24,0.37
LSM6DS3,244992,0.79,0.24,0.43
LSM6DS3,250003,0.37,0.18,0.37
LSM6DS3,255014,0.67,0.24,0.37
LSM6DS3,260026,0.06,0.18,0.31
LSM6DS3,265037,0.61,0.24,0.37
LSM6DS3,270048,0.67,0.24,0.31
LSM6DS3,275060,2.01,0.61,0.43
LSM6DS3,280071,0.61,0.24,0.43
LSM6DS3,285082,0.43,0.24,0.31
LSM6DS3,290093,0.43,0.18,0.37
LSM6DS3,295108,0.49,0.12,0.43
LSM6DS3,300119,0.61,0.24,0.37
LSM6DS3,305131,0.55,0.37,0.24
LSM6DS3,310143,1.46,0.43,0.43
LSM6DS3,315156,0.79,0.18,0.55
LSM6DS3,320167,0.43,0.24,0.24
LSM6DS3,325179,-1.16,0.43,0.18
LSM6DS3,330190,0.61,0.24,0.37
LSM6DS3,335202,0.43,0.24,0.37
LSM6DS3,340215,0.61,0.24,0.31
LSM6DS3,345227,1.83,0.49,0.73
LSM6DS3,350238,-0.37,-0.37,-0.79
LSM6DS3,355249,0.49,0.06,0.24
LSM6DS3,365273,0.49,0.37,-0.18
LSM6DS3,370285,0.43,0.24,0.31
LSM6DS3,375297,0.85,0.85,0.0
LSM6DS3,380307,-0.73,0.67,0.0
LSM6DS3,385318,0.61,0.0,0.31
LSM6DS3,390331,0.79,0.37,0.31
LSM6DS3,395342,0.55,1.04,0.98
LSM6DS3,400354,0.24,-0.18,-0.06
LSM6DS3,405367,0.49,0.12,0.31
LSM6DS3,410378,0.31,0.18,0.31
LSM6DS3,415390,0.61,0.24,0.37
LSM6DS3,420402,1.59,1.28,0.92
LSM6DS3,425413,0.31,0.73,0.24
LSM6DS3,430425,0.06,-0.12,0.24
LSM6DS3,435437,0.49,0.18,0.24
LSM6DS3,36113,0.92,0.31,0.43
LSM6DS3,41124,-1.65,-1.83,-0.67
LSM6DS3,51148,0.12,0.12,0.18
LSM6DS3,56160,0.92,0.18,0.43
LSM6DS3,56160,0.92,0.18,0.43
LSM6DS3,61172,-2.14,-0.06,-0.24
LSM6DS3,61172,-2.14,-0.06,-0.24
LSM6DS3,66183,0.79,0.24,0.37
LSM6DS3,66183,0.79,0.24,0.37
LSM6DS3,71198,6.53,4.39,2.75
LSM6DS3,71198,6.53,4.39,2.75
LSM6DS3,76210,77.94,-528.63,276.18
LSM6DS3,76210,77.94,-528.63,276.18
LSM6DS3,81222,-27.28,-809.14,234.13
LSM6DS3,81222,-27.28,-809.14,234.13
LSM6DS3,86235,-38.02,-292.11,-60.49
LSM6DS3,86235,-38.02,-292.11,-60.49
LSM6DS3,91249,-162.84,-1525.09,145.81
LSM6DS3,91249,-162.84,-1525.09,145.81
LSM6DS3,96262,-638.85,362.3,274.17
LSM6DS3,96262,-638.85,362.3,274.17
LSM6DS3,101276,71.47,-98.33,224.91
LSM6DS3,101276,71.47,-98.33,224.91
LSM6DS3,106288,372.44,257.69,-841.37
LSM6DS3,106288,372.44,257.69,-841.37
LSM6DS3,111300,-15.26,210.08,128.42
LSM6DS3,111300,-15.26,210.08,128.42
LSM6DS3,116313,89.78,-141.78,35.89
LSM6DS3,116313,89.78,-141.78,35.89
LSM6DS3,121326,-18.31,-34.42,-11.84
LSM6DS3,121326,-18.31,-34.42,-11.84
LSM6DS3,126338,2.26,-1.1,4.21
LSM6DS3,126338,2.26,-1.1,4.21
LSM6DS3,131350,1.04,0.24,-1.1
LSM6DS3,131350,1.04,0.24,-1.1
LSM6DS3,136362,2.38,0.61,1.77
LSM6DS3,136362,2.38,0.61,1.77
LSM6DS3,141372,4.58,0.18,5.19
LSM6DS3,141372,4.58,0.18,5.19
LSM6DS3,146384,0.55,-3.05,0.61
LSM6DS3,146384,0.55,-3.05,0.61
LSM6DS3,151396,-131.77,32.23,-69.7
LSM6DS3,151396,-131.77,32.23,-69.7
LSM6DS3,156409,-85.21,28.56,-95.21
LSM6DS3,156409,-85.21,28.56,-95.21
LSM6DS3,161419,-60.79,332.28,267.21
LSM6DS3,166432,-19.9,-421.26,143.86
LSM6DS3,166432,-19.9,-421.26,143.86
LSM6DS3,171442,3.66,40.53,-3.66
LSM6DS3,171442,3.66,40.53,-3.66
LSM6DS3,176455,-0.98,-0.31,1.59
LSM6DS3,176455,-0.98,-0.31,1.59
LSM6DS3,181465,2.5,13.49,-7.69
LSM6DS3,181465,2.5,13.49,-7.69
LSM6DS3,186478,-8.67,-86.49,0.85
LSM6DS3,186478,-8.67,-86.49,0.85
LSM6DS3,191490,-0.61,-0.43,0.37
LSM6DS3,191490,-0.61,-0.43,0.37
LSM6DS3,196503,31.43,115.97,27.4
LSM6DS3,196503,31.43,115.97,27.4
LSM6DS3,201513,9.34,0.79,2.44
LSM6DS3,201513,9.34,0.79,2.44
LSM6DS3,206525,-2.32,-1.28,-1.04
LSM6DS3,206525,-2.32,-1.28,-1.04
LSM6DS3,211537,-0.24,-0.31,0.0
LSM6DS3,211537,-0.24,-0.31,0.0
LSM6DS3,216549,2.2,1.89,1.53
LSM6DS3,216549,2.2,1.89,1.53
LSM6DS3,221561,-113.28,-52.92,-138.98
LSM6DS3,226572,19.17,2.87,-36.68
LSM6DS3,226572,19.17,2.87,-36.68
LSM6DS3,231585,3.54,-5.13,-4.09
LSM6DS3,231585,3.54,-5.13,-4.09
LSM6DS3,236597,0.49,-0.79,2.38
LSM6DS3,241609,0.0,-0.61,1.89
LSM6DS3,246620,3.78,-3.17,4.09
LSM6DS3,251633,0.0,-1.46,0.73
LSM6DS3,251633,0.0,-1.46,0.73
LSM6DS3,256644,0.85,0.61,-0.37
LSM6DS3,256644,0.85,0.61,-0.37
LSM6DS3,261656,2.75,-2.01,-1.04
